,budget,imdb_id,popularity,release_date,startYear,release_month,revenue,runtime,title,Genre,Production_Company,Director,averageRating,numVotes,original_language,status,New_status
50,18000000.0,tt0081398,8.868558,1980-11-14,1980,11,23000000.0,129.0,Raging Bull,Drama,United Artists,Martin Scorsese,8.2,297278,en,1.2777777777777777,1.0
51,35000000.0,tt0101540,10.302735,1991-11-15,1991,11,182300000.0,128.0,Cape Fear,Crime,Universal Pictures,Martin Scorsese,7.3,158419,en,5.208571428571428,1.0
52,7000000.0,tt0095497,11.370288,1988-08-12,1988,8,8373585.0,164.0,The Last Temptation of Christ,Drama,Universal Pictures,Martin Scorsese,7.6,47761,en,1.1962264285714286,1.0
53,13800000.0,tt0090863,11.613655,1986-10-07,1986,10,52293982.0,119.0,The Color of Money,Drama,Silver Screen Partners,Martin Scorsese,7.0,69466,en,3.7894189855072464,1.0
54,100000000.0,tt0217505,14.922398999999999,2002-12-14,2002,12,193772504.0,167.0,Gangs of New York,Drama,Miramax Films,Martin Scorsese,7.5,380394,en,1.93772504,1.0
55,4500000.0,tt0088680,6.5831610000000005,1985-09-13,1985,9,10609321.0,97.0,After Hours,Comedy,Double Play,Martin Scorsese,7.7,51984,en,2.357626888888889,1.0
56,500000.0,tt0070379,8.212399000000001,1973-10-02,1973,10,3000000.0,110.0,Mean Streets,Drama,Scorsese Productions,Martin Scorsese,7.3,89092,en,6.0,1.0
57,116000000.0,tt0338751,9.86738,2004-12-17,2004,12,102000000.0,170.0,The Aviator,Drama,Miramax Films,Martin Scorsese,7.5,314548,en,0.8793103448275862,0.0
58,90000000.0,tt0407887,18.515448000000003,2006-10-05,2006,10,289847354.0,151.0,The Departed,Drama,Vertigo Entertainment,Martin Scorsese,8.5,1105570,en,3.2205261555555555,1.0
59,170000000.0,tt0970179,14.046164000000001,2011-11-22,2011,11,185770160.0,126.0,Hugo,Adventure,Paramount Pictures,Martin Scorsese,7.5,289404,en,1.0927656470588236,1.0
60,100000000.0,tt0993846,16.382422000000002,2013-12-25,2013,12,392000694.0,180.0,The Wolf of Wall Street,Crime,Paramount Pictures,Martin Scorsese,8.2,1071684,en,3.92000694,1.0
61,46000000.0,tt0490215,14.16938,2016-12-22,2016,12,23737523.0,161.0,Silence,Drama,CatchPlay,Martin Scorsese,7.2,89203,en,0.5160331086956522,0.0
62,16500000.0,tt0114388,10.673167,1995-12-13,1995,12,135000000.0,136.0,Sense and Sensibility,Drama,Columbia Pictures Corporation,Ang Lee,7.6,94558,en,8.181818181818182,1.0
63,18000000.0,tt0119349,7.146352,1997-09-27,1997,9,8038061.0,112.0,The Ice Storm,Drama,Fox Searchlight Pictures,Ang Lee,7.4,51565,en,0.44655894444444444,0.0
64,17000000.0,tt0190332,19.944952999999998,2000-10-01,2000,10,213525736.0,120.0,"Crouching Tiger, Hidden Dragon",Adventure,Sony Pictures Classics,Ang Lee,7.8,243330,zh,12.560337411764706,1.0
65,137000000.0,tt0286716,15.422638000000001,2003-06-19,2003,6,245360480.0,138.0,Hulk,Drama,Universal Pictures,Ang Lee,5.6,243135,en,1.790952408759124,1.0
66,14000000.0,tt0388795,11.787044,2005-09-02,2005,9,178043761.0,134.0,Brokeback Mountain,Drama,River Road Entertainment,Ang Lee,7.7,305976,en,12.7174115,1.0
67,120000000.0,tt0454876,14.045042,2012-11-20,2012,11,609016565.0,127.0,Life of Pi,Adventure,Ingenious Film Partners,Ang Lee,7.9,548022,en,5.0751380416666665,1.0
68,30000000.0,tt0112281,8.205447999999999,1995-11-10,1995,11,212385533.0,90.0,Ace Ventura: When Nature Calls,Crime,O Entertainment,Steve Oedekerk,6.4,191788,en,7.079517766666667,1.0
69,51000000.0,tt0414853,6.984949,2006-08-04,2006,8,72779000.0,90.0,Barnyard,Animation,Paramount Pictures,Steve Oedekerk,5.5,25774,en,1.4270392156862746,1.0
70,60000000.0,tt0113845,7.337905999999999,1995-11-21,1995,11,35431113.0,103.0,Money Train,Action,Columbia Pictures,Joseph Ruben,5.7,37102,en,0.59051855,0.0
71,17000000.0,tt0107034,7.873794,1993-09-24,1993,9,44456478.0,87.0,The Good Son,Drama,Twentieth Century Fox Film Corporation,Joseph Ruben,6.4,34398,en,2.615086941176471,1.0
72,19000000.0,tt0102945,8.560694,1991-02-08,1991,2,174999005.0,99.0,Sleeping with the Enemy,Drama,Twentieth Century Fox Film Corporation,Joseph Ruben,6.3,46595,en,9.21047394736842,1.0
73,42000000.0,tt0356618,6.40146,2004-09-24,2004,9,117575636.0,91.0,The Forgotten,Crime,Revolution Studios,Joseph Ruben,5.8,62369,en,2.799419904761905,1.0
74,30250000.0,tt0113161,12.669608,1995-10-20,1995,10,115101622.0,105.0,Get Shorty,Comedy,Jersey Films,Barry Sonnenfeld,6.9,72312,en,3.805012297520661,1.0
75,90000000.0,tt0119654,15.781023999999999,1997-07-02,1997,7,589390539.0,98.0,Men in Black,Action,Amblin Entertainment,Barry Sonnenfeld,7.3,488490,en,6.548783766666666,1.0
76,30000000.0,tt0101272,12.962525,1991-11-22,1991,11,191502426.0,99.0,The Addams Family,Horror,Paramount Pictures,Barry Sonnenfeld,6.9,121333,en,6.3834142,1.0
77,170000000.0,tt0120891,9.887602000000001,1999-06-29,1999,6,222104681.0,106.0,Wild Wild West,Action,"Todman, Simon, LeMasters Productions",Barry Sonnenfeld,4.9,146609,en,1.3064981235294117,1.0
78,140000000.0,tt0120912,16.775716,2002-07-03,2002,7,441818803.0,88.0,Men in Black II,Action,Columbia Pictures,Barry Sonnenfeld,6.2,323442,en,3.1558485928571427,1.0
79,50000000.0,tt0449089,11.511424,2006-04-28,2006,4,87528173.0,99.0,RV,Comedy,Columbia Pictures,Barry Sonnenfeld,5.5,53840,en,1.75056346,1.0
80,50000000.0,tt0112401,11.065939,1995-10-06,1995,10,30303072.0,132.0,Assassins,Action,Silver Pictures,Richard Donner,6.3,73925,en,0.60606144,0.0
81,2800000.0,tt0075005,16.641277,1976-06-06,1976,6,60922980.0,111.0,The Omen,Horror,Twentieth Century Fox Film Corporation,Richard Donner,7.5,100744,en,21.75820714285714,1.0
82,75000000.0,tt0118883,14.261798,1997-08-07,1997,8,136982834.0,135.0,Conspiracy Theory,Action,Silver Pictures,Richard Donner,6.7,89125,en,1.8264377866666666,1.0
83,140000000.0,tt0122151,14.470551,1998-07-10,1998,7,285444603.0,127.0,Lethal Weapon 4,Action,Silver Pictures,Richard Donner,6.6,146050,en,2.0388900214285712,1.0
84,15000000.0,tt0093409,13.183804,1987-03-06,1987,3,120207127.0,110.0,Lethal Weapon,Adventure,Silver Pictures,Richard Donner,7.6,223648,en,8.013808466666667,1.0
85,25000000.0,tt0097733,12.834276,1989-07-07,1989,7,227853986.0,114.0,Lethal Weapon 2,Action,Silver Pictures,Richard Donner,7.2,152254,en,9.11415944,1.0
86,35000000.0,tt0104714,10.786007000000001,1992-05-15,1992,5,321731527.0,118.0,Lethal Weapon 3,Adventure,Silver Pictures,Richard Donner,6.7,148854,en,9.192329342857143,1.0
87,19000000.0,tt0089218,14.280702999999999,1985-06-06,1985,6,61503218.0,114.0,The Goonies,Adventure,Amblin Entertainment,Richard Donner,7.8,224483,en,3.2370114736842104,1.0
