budget,imdb_id,popularity,release_date,startYear,revenue,runtime,title,status,New_status,Genre,Production_Company,Director,averageRating,numVotes
3352254.0,tt0068638,10.037593,1972-12-13,1972,58831997.0,118.0,The Getaway,17.549981892780202,1.0,Action,Solar Productions,Sam Peckinpah,7.4,25807
4000000.0,tt0065421,9.834047,1970-12-23,1970,55675257.0,78.0,The Aristocats,13.91881425,1.0,Animation,Walt Disney Productions,Wolfgang Reitherman,7.1,85713
3000000.0,tt0057546,10.636458,1963-12-25,1963,22182353.0,79.0,The Sword in the Stone,7.394117666666666,1.0,Animation,Walt Disney Productions,Wolfgang Reitherman,7.2,82695
4000000.0,tt0061852,22.845448,1967-10-17,1967,205843612.0,78.0,The Jungle Book,51.460903,1.0,Family,Walt Disney Pictures,Wolfgang Reitherman,7.6,155023
15000000.0,tt0070608,11.179855,1973-11-08,1973,32056467.0,83.0,Robin Hood,2.1370978,1.0,Animation,Walt Disney Productions,Wolfgang Reitherman,7.6,106897
30000000.0,tt0117381,10.326213000000001,1996-04-03,1996,102616183.0,129.0,Primal Fear,3.4205394333333334,1.0,Crime,Paramount Pictures,Gregory Hoblit,7.7,169051
31000000.0,tt0186151,10.163266,2000-04-28,2000,68106245.0,118.0,Frequency,2.1969756451612903,1.0,Crime,New Line Cinema,Gregory Hoblit,7.3,96216
70000000.0,tt0251114,14.116473999999998,2002-02-15,2002,32287044.0,125.0,Hart's War,0.4612434857142857,0.0,Drama,David Foster Productions,Gregory Hoblit,6.3,49116
35000000.0,tt0880578,7.85217,2008-01-22,2008,32483410.0,101.0,Untraceable,0.9280974285714285,0.0,Drama,Lakeshore Entertainment,Gregory Hoblit,6.2,45694
57000000.0,tt0116136,23.636589999999998,1996-05-31,1996,115267375.0,103.0,DragonHeart,2.022234649122807,1.0,Fantasy,Universal Pictures,Rob Cohen,6.5,87597
80000000.0,tt0116040,11.995799,1996-12-06,1996,159212469.0,115.0,Daylight,1.9901558625,1.0,Action,Universal Pictures,Rob Cohen,5.9,62653
15000000.0,tt0192614,11.363754,2000-03-31,2000,35007180.0,106.0,The Skulls,2.333812,1.0,Crime,Universal Pictures,Rob Cohen,5.6,29910
38000000.0,tt0232500,1.406181,2001-06-22,2001,207283925.0,106.0,The Fast and the Furious,5.454840131578948,1.0,Action,Universal Pictures,Rob Cohen,6.8,327855
14000000.0,tt0106770,5.079464,1993-05-07,1993,63513743.0,120.0,Dragon: The Bruce Lee Story,4.536695928571429,1.0,Drama,Universal Pictures,Rob Cohen,7.0,25869
70000000.0,tt0295701,12.722381,2002-08-09,2002,277448382.0,124.0,xXx,3.963548314285714,1.0,Action,Columbia Pictures,Rob Cohen,5.9,168172
135000000.0,tt0382992,13.890179999999999,2005-07-28,2005,76932943.0,121.0,Stealth,0.5698736518518519,0.0,Action,Laura Ziskin Productions,Rob Cohen,5.1,50116
145000000.0,tt0859163,14.250226999999999,2008-07-01,2008,401128639.0,112.0,The Mummy: Tomb of the Dragon Emperor,2.7664044068965516,1.0,Adventure,Universal Pictures,Rob Cohen,5.2,143994
80000000.0,tt0117705,11.054250999999999,1996-11-15,1996,250200000.0,88.0,Space Jam,3.1275,1.0,Animation,Warner Bros. Family Entertainment,Joe Pytka,6.4,146001
9000000.0,tt0062711,14.304205,1968-10-10,1968,2500000.0,98.0,Barbarella,0.2777777777777778,0.0,Science Fiction,Paramount Pictures,Roger Vadim,5.9,29902
30000000.0,tt0117420,7.941972,1996-04-19,1996,57400547.0,95.0,The Quest,1.9133515666666667,1.0,Action,Universal Pictures,Jean-Claude Van Damme,5.6,22870
31000000.0,tt0095776,10.813578999999999,1988-11-18,1988,74151346.0,74.0,Oliver & Company,2.3919789032258065,1.0,Animation,Walt Disney Pictures,George Scribner,6.7,40533
15000000.0,tt0115963,12.860385,1996-05-03,1996,24769466.0,101.0,The Craft,1.6512977333333334,1.0,Drama,Columbia Pictures,Andrew Fleming,6.3,70496
25000000.0,tt0115571,6.497591000000001,1996-05-31,1996,14048372.0,115.0,The Arrival,0.56193488,0.0,Action,Live Entertainment,David Twohy,6.3,30187
23000000.0,tt0134847,6.424399,2000-02-18,2000,53187659.0,108.0,Pitch Black,2.312506913043478,1.0,Thriller,Interscope Communications,David Twohy,7.1,216930
105000000.0,tt0296572,5.060352,2004-06-11,2004,115772733.0,119.0,The Chronicles of Riddick,1.1025974571428572,1.0,Action,One Race Films,David Twohy,6.7,206840
14000000.0,tt0971209,11.017008,2009-06-08,2009,22852638.0,98.0,A Perfect Getaway,1.6323312857142858,1.0,Thriller,Davis Entertainment,David Twohy,6.5,64933
1800000.0,tt0057012,9.803980000000001,1964-01-29,1964,9440272.0,95.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,5.244595555555556,1.0,Drama,Hawk Films,Stanley Kubrick,8.4,424476
10500000.0,tt0062622,22.494622,1968-04-10,1968,68700000.0,149.0,2001: A Space Odyssey,6.542857142857143,1.0,Science Fiction,Stanley Kubrick Productions,Stanley Kubrick,8.3,559075
2200000.0,tt0066921,17.112594,1971-12-18,1971,26589000.0,136.0,A Clockwork Orange,12.085909090909091,1.0,Science Fiction,Hawk Films,Stanley Kubrick,8.3,708506
17000000.0,tt0093058,13.941479999999999,1987-06-26,1987,46357676.0,116.0,Full Metal Jacket,2.726922117647059,1.0,Drama,Stanley Kubrick Productions,Stanley Kubrick,8.3,627682
19000000.0,tt0081505,19.611589000000002,1980-05-22,1980,44017374.0,144.0,The Shining,2.316703894736842,1.0,Horror,Hawk Films,Stanley Kubrick,8.4,818540
65000000.0,tt0120663,13.268483999999999,1999-07-14,1999,162091208.0,159.0,Eyes Wide Shut,2.4937108923076923,1.0,Mystery,Hobby Films,Stanley Kubrick,7.4,279434
12000000.0,tt0054331,11.110375999999999,1960-10-06,1960,60000000.0,197.0,Spartacus,5.0,1.0,Action,Bryna Productions,Stanley Kubrick,7.9,115957
2000000.0,tt0056193,9.551293,1962-06-13,1962,9250000.0,153.0,Lolita,4.625,1.0,Drama,Seven Arts Productions,Stanley Kubrick,7.6,85474
11000000.0,tt0072684,14.003467,1975-12-18,1975,20000000.0,184.0,Barry Lyndon,1.8181818181818181,1.0,Drama,Hawk Films,Stanley Kubrick,8.1,136639
50000000.0,tt0117765,11.341502,1996-06-28,1996,113309743.0,115.0,Striptease,2.26619486,1.0,Drama,Columbia Pictures,Andrew Bergman,4.5,40745
45000000.0,tt0116669,6.2872449999999995,1996-08-09,1996,58620973.0,113.0,Jack,1.3026882888888889,1.0,Comedy,American Zoetrope,Francis Ford Coppola,5.8,53584
